label,text,label_num,clean_text,text_len
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,go jurong point crazy available bugis n great world la e buffet cine got amore wat,111
ham,Ok lar... Joking wif u oni...,0,ok lar joking wif u oni,29
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s,155
ham,U dun say so early hor... U c already then say...,0,u dun say early hor u c already say,49
ham,"Nah I don't think he goes to usf, he lives around here though",0,nah dont think goes usf lives around though,61
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1,freemsg hey darling 3 weeks word back id like fun still tb ok xxx std chgs send å£150 rcv,148
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,even brother like speak treat like aids patent,77
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,160
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,winner valued network customer selected receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hours,158
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,mobile 11 months u r entitled update latest colour mobiles camera free call mobile update co free 08002986030,154
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today,109
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,six chances win cash 100 20000 pounds txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,136
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,156
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,196
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,date sunday,35
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,149
ham,Oh k...i'm watching here:),0,oh kim watching,26
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,eh u remember 2 spell name yes v naughty make v wet,81
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0,fine thatåõs way u feel thatåõs way gota b,58
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1,england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16,156
ham,Is that seriously how you spell his name?,0,seriously spell name,41
ham,IÛ÷m going to try for 2 months ha ha only joking,0,iû÷m going try 2 months ha ha joking,49
ham,So Ì_ pay first lar... Then when is da stock comin...,0,ì pay first lar da stock comin,53
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already,88
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,ffffffffff alright way meet sooner,57
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol,144
ham,Lol your always so convincing.,0,lol always convincing,30
